match_id,my_team,team1_gold,team2_gold,gold_diff,gold_leading_team,my_team_ahead_gold,team1_kills,team2_kills,kill_diff,kill_leading_team,my_team_ahead_kills,tower_fb,drake_fb,herald_fb,my_team_win,winner
LA1_1719416454,200,16264,17109,845,200,True,4,3,-1,100,True,100.0,200.0,100,True,200
LA1_1719554293,200,15866,19539,3673,200,True,4,11,7,200,False,100.0,200.0,200,True,200
LA1_1719432181,100,18395,18718,-323,200,False,8,8,0,0,False,200.0,100.0,100,True,100
LA1_1719443853,200,18079,18342,263,200,True,6,6,0,0,False,100.0,200.0,200,True,200
LA1_1718979677,100,21244,14964,6280,100,True,13,2,11,100,True,200.0,100.0,,True,100
LA1_1718499668,100,15844,19090,-3246,200,False,5,9,-4,200,False,100.0,200.0,200.0,False,200
LA1_1718970282,200,19080,17011,-2069,100,False,8,4,-4,100,True,100.0,200.0,200.0,True,200
LA1_1718491239,200,17550,18530,980,200,True,5,6,1,200,False,100.0,200.0,200.0,True,200
LA1_1718988058,200,17029,17407,378,200,True,5,5,0,0,False,200.0,100.0,300.0,False,100
LA1_1719732230,200,18539,18310,-229,100,False,9,10,1,200,False,200.0,200.0,200,True,200
LA1_1719733347,200,18452,16979,-1473,100,False,8,5,-3,100,True,100.0,200.0,100,True,200
LA1_1719495176,100,18244,17694,550,100,True,12,7,5,100,True,100.0,100.0,100,True,100
LA1_1719667031,100,17384,19442,-2058,200,False,7,10,-3,200,False,100.0,200.0,200,False,200
LA1_1719651097,100,17419,20078,-2659,200,False,6,9,-3,200,False,100.0,200.0,100,False,200
LA1_1719580851,200,15277,17438,2161,200,True,1,5,4,200,False,100.0,100.0,200,True,200
LA1_1719764539,200,15024,18894,3870,200,True,2,8,6,200,False,200.0,200.0,200,True,200
LA1_1719792512,100,18214,18352,-138,200,False,6,8,-2,200,False,200.0,200.0,100,False,200
LA1_1719400383,200,17758,20639,2881,200,True,6,12,6,200,False,200.0,100.0,200.0,True,200
LA1_1719883817,200,14613,17268,2655,200,True,2,7,5,200,False,,200.0,,True,200
LA1_1719592605,100,18966,18949,17,100,True,10,9,1,100,True,100.0,200.0,100,False,200
LA1_1719858608,200,16993,18637,1644,200,True,4,9,5,200,False,100.0,200.0,200,True,200
LA1_1719604652,100,20105,18582,1523,100,True,10,6,4,100,True,200.0,100.0,100,True,100
LA1_1719428900,100,17071,18373,-1302,200,False,4,6,-2,200,False,100.0,200.0,100,False,200
