gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
-1298,-2,0,1,1,True
-2404,-5,0,0,0,False
-365,-2,1,0,0,False
108,1,0,0,0,True
-1494,-2,1,0,1,True
1758,2,0,0,1,True
-2499,-5,1,0,0,False
185,0,0,0,1,True
1866,2,0,1,1,True
-1414,-6,0,1,0,True
2745,5,0,1,1,True
943,1,1,1,1,False
1271,2,0,1,1,True
6516,11,0,1,0,True
-774,0,1,0,0,False
-553,-4,0,1,0,True
845,-1,0,0,1,False
911,2,1,0,0,False
-686,-1,1,1,0,False
-987,-4,1,1,1,False
2054,3,0,1,0,True
-2652,-2,1,0,1,True
2487,5,0,1,1,True
1159,0,0,0,1,True
1544,2,0,1,1,True
1876,1,0,1,0,False
1095,4,0,1,1,True
-2387,-6,1,1,0,True
-1615,-3,0,1,1,False
1411,3,0,0,0,True
-1602,0,1,0,1,True
373,2,0,0,1,True
-1401,-2,1,1,0,False
-795,0,0,1,1,True
-312,2,1,0,1,False
5491,6,0,1,1,True
574,1,0,1,0,True
-3793,-7,1,0,0,False
1132,5,1,1,0,True
2437,4,0,1,1,True
-85,2,1,1,1,False
643,4,1,1,0,True
271,-1,0,0,0,False
1364,0,0,1,1,False
-1714,-3,1,0,1,True
832,0,1,0,1,True
-452,-2,0,0,0,False
-472,-2,0,0,0,False
2940,5,0,1,1,False
869,5,1,0,0,True
108,2,1,0,0,False
3269,10,0,0,1,True
320,0,0,1,1,True
5490,14,0,1,1,True
1907,2,0,0,0,True
-4193,-2,1,0,0,False
-2167,-3,1,1,1,False
1349,1,0,0,0,True
3237,8,0,1,1,True
-959,-4,1,0,1,True
-1165,-1,0,0,0,False
896,2,0,1,1,True
1457,6,1,1,1,True
2098,4,0,1,1,True
-616,-2,0,1,0,False
4202,4,0,0,1,True
-173,-1,1,0,0,False
-834,-4,0,1,1,True
-815,1,1,0,0,True
-2860,-5,1,0,0,False
158,3,0,1,1,True
-3049,-3,1,1,0,True
-1925,-4,1,1,0,False
-292,0,0,1,0,True
-2281,-4,1,1,0,False
-232,-3,1,0,1,True
1381,4,0,1,1,True
595,3,1,0,0,False
1,0,1,1,0,False
157,1,0,1,1,True
-952,0,1,0,0,True
2295,4,0,1,0,True
2932,4,1,1,1,True
5838,11,0,1,1,True
-2716,-4,1,0,0,False
2272,6,0,1,1,True
4217,9,0,1,1,True
-3848,-7,1,0,0,False
1593,2,0,1,0,True
-546,-1,1,0,0,False
1264,4,0,0,1,True
-1013,-1,1,0,0,True
1408,0,0,0,0,True
689,1,0,1,0,False
954,2,0,1,0,True
629,3,1,0,1,False
546,1,0,1,0,True
-268,1,0,1,1,False
3543,6,0,1,1,True
222,0,0,1,1,True
14,-2,0,0,1,True
582,1,0,1,0,False
-1362,-5,1,0,0,False
-793,-3,1,0,0,True
